,smiles,logP,qed,SAS
0,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,-0.3142,0.45216312,3.596403195
1,CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2,2.00092,0.905256435,2.792408103
2,O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,1.9738,0.890401925,2.900294543
3,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.6212,0.57313489,3.120370453
4,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.O=C(O)/C=C\C(=O)O,4.03602,0.596761138,2.792616405
5,C=CCN1C(=O)C(CC(C)C)NC1=S,1.3038,0.563009713,3.205145403
6,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,3.2801,0.775786015,3.399215384
7,CCC12CCN(CC3CCC3)C(Cc3ccc(O)cc31)C2(C)C,4.4967,0.888070389,4.305356565
8,ON1CC(=NCC2CC2)N=c2ccc(Cl)cc2=C1c1ccccc1,2.6294,0.934140809,3.116946516
9,CCOC(N)=O,0.1016,0.495019394,2.171342856
10,C#CCN(C)Cc1ccccc1,1.7516,0.607262791,1.973042014
11,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,2.9809,0.659128992,5.144558609
12,CN(C)CCOC1(Cc2ccccc2)CC2CCC1(C)C2(C)C,4.3923,0.771627025,4.388476306
13,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,-1.292,0.34409155,2.875933119
14,CC(C)NNC(=O)COc1ccc(Cl)cc1,1.748,0.773836943,1.945524
15,OCCN1CCN(CCCC2c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,4.8311,0.632829985,3.1544066
16,Clc1ccccc1C1=NCc2nnc(C3CCCCC3)n2-c2sc(Br)cc21,6.1434,0.459603413,2.874015154
17,C=C,0.8022,0.344496769,4.089998688
18,CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,3.3876,0.774406361,6.284358383
19,CC(=O)NCCCN1CCN(c2cc(Cl)ccc2Cl)CC1,2.6416,0.843353192,1.94294688
20,CN1C(=O)CN(C(N)=O)C(c2ccccc2)c2cc(Cl)ccc21,2.7865,0.873830024,2.731369046
21,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)C4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)O[C@H](C)OC(=O)OCC)O1,4.2578,0.370516409,5.338506308
22,NC(=O)C1c2ccccc2C=Cc2ccccc21,2.7876,0.811071966,2.300204775
23,Cc1ccccc1OCC(COC(O)C(Cl)(Cl)Cl)OC(O)C(Cl)(Cl)Cl,4.15282,0.435483936,4.220191644
24,OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1,3.6641,0.833266219,2.456733248
25,CN1CCC23c4c5ccc(O)c4OC2CCCC3C1C5,2.4513,0.786497215,4.994117639
26,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,2.6417,0.735641119,2.37073752
27,CCC1(C)CC(=O)NC(=O)C1,0.8393,0.570182818,3.000879381
28,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,3.0804,0.771814375,4.12360899
29,CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C,2.2687,0.744701131,3.552114166
30,CCO[C@H]1CCN(C(=O)c2cc(-c3ccccc3)c(=O)n3c2-c2cc(Cl)ccc2CC3)C1,4.6428,0.58373721,2.969266486
31,O=C(COc1ccc(Cl)cc1)OCCNC12CC3CC(CC(C3)C1)C2,3.8204,0.590620897,3.490800009
32,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.[Cl-],1.392,0.652977065,3.310547699
33,CNC1CCc2ncsc2C1,1.2198,0.68172498,3.455652926
34,CC1=Nc2ccccc2CC(c2ccccc2)N1C,3.9657,0.747518082,2.790342224
35,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,4.8266,0.379862418,2.377831621
36,Cc1[nH]nc2c1N(c1ccccc1)C(=O)CC(=O)N2C,1.74932,0.802518124,2.642507828
37,Cc1ncsc1CCCl,2.23282,0.606693792,2.680289546
38,CCN1CCC(=C(c2ccccc2)c2ccccc2)C1.[Cl-],1.3306,0.826485452,2.335683004
39,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2.O=C(O)CCC(=O)O,5.4047,0.356716729,2.938588626
40,Cn1c(=O)c2nc[nH]c2n(C)c1=O,-1.0397,0.562472236,2.771865245
41,CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,4.0838,0.832496141,3.16364252
42,[CH2-][CH-]C,1.04468,0.355216975,5.824433962
43,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,2.3184,0.925672959,3.897562757
44,Cc1nc2c(C)cccn2c(=O)c1CCN1CCC(c2noc3cc(F)ccc23)CC1,4.01374,0.499131308,2.678417619
45,CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,5.3801,0.514374423,3.176044165
46,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,3.3834,0.776132215,3.98989142
47,CC(C)(C)C(=O)SCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,4.0952,0.656231821,4.602457896
48,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.0878,0.7233588,2.597498313
49,CC(C)C(O)C1CCCCC1,2.5836,0.65121235,2.571926484
50,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,2.19612,0.916821499,2.158909629
51,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,3.3712,0.757656922,2.094193816
52,CCO,-0.0014,0.406807966,1.980257039
53,CNC1Cc2ccccc2N(C)c2ccccc21,3.2711,0.819950469,2.575489207
54,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.1743,0.898002734,2.397090629
55,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1.[Cl-],1.3168,0.395513543,3.942048282
56,CCOC(=O)C1(c2cccc(O)c2)CCN(C)CC1,1.9187,0.846465631,2.303502935
57,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1.185,0.706783669,2.73460342
58,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,2.2549,0.886647953,3.411492834
59,O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,3.3737,0.523614311,3.168072518
60,O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1,3.0736,0.830826208,3.188291795
61,NC(=O)CN1C(=O)COc2ccccc21,-0.1027,0.733778529,2.016960591
62,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,2.3096,0.651550718,1.698619335
63,CCCCCCC,2.9767,0.476309874,1.260713465
64,CCC(=O)C(CCN(C)C)(c1ccccc1)c1ccccc1,3.9035,0.7717982,2.216137501
65,CP(C)(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.1042,0.773484677,2.689880336
66,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1.2492,0.559350313,2.964583112
67,CC(=O)Nc1ccc(O)cc1,1.3506,0.595026197,1.407298798
68,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,-1.2992,0.14740151,4.320141759
69,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,2.0118,0.773647893,4.565877113
70,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21,3.7366,0.745653207,2.247062175
71,CCCCCCCCCCCCCCCC(=O)OCCC1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,10.0563,0.083878941,2.955667701
72,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.7714,0.736992878,2.295151484
73,CCNC(=O)/C=C/c1cccc(Br)c1,2.5984,0.825126384,1.967385911
